Fecha,Dia_Semana,Mes,Anio,Dia_Anio,Es_Feriado,Temperatura_Max_Prevista,Promocion_Croissant,Precio_Nuestro,Precio_Competencia,Cantidad_Vendida
2019-01-01,martes,1,2019,1,1,30.7,0,1.43,1.39,131
2019-01-02,miércoles,1,2019,2,0,29.5,0,1.35,1.38,96
2019-01-03,jueves,1,2019,3,0,31.1,0,1.43,1.48,71
2019-01-04,viernes,1,2019,4,0,32.9,1,1.41,1.41,161
2019-01-05,sábado,1,2019,5,0,29.4,0,1.38,1.38,131
2019-01-06,domingo,1,2019,6,0,29.4,0,1.38,1.38,117
2019-01-07,lunes,1,2019,7,0,33.1,0,1.43,1.55,77
2019-01-08,martes,1,2019,8,0,31.5,0,1.38,1.31,76
2019-01-09,miércoles,1,2019,9,0,29.0,0,1.38,1.37,90
2019-01-10,jueves,1,2019,10,0,31.0,1,1.42,1.31,138
2019-01-11,viernes,1,2019,11,0,29.0,0,1.41,1.38,112
2019-01-12,sábado,1,2019,12,0,29.1,1,1.38,1.48,222
2019-01-13,domingo,1,2019,13,0,30.5,0,1.4,1.39,125
2019-01-14,lunes,1,2019,14,0,26.2,0,1.38,1.37,96
2019-01-15,martes,1,2019,15,0,26.6,1,1.42,1.43,157
2019-01-16,miércoles,1,2019,16,0,28.9,0,1.42,1.39,99
2019-01-17,jueves,1,2019,17,0,28.0,0,1.41,1.35,110
2019-01-18,viernes,1,2019,18,0,30.6,0,1.41,1.53,107
2019-01-19,sábado,1,2019,19,0,28.2,0,1.44,1.51,132
2019-01-20,domingo,1,2019,20,0,27.1,1,1.4,1.52,196
2019-01-21,lunes,1,2019,21,0,32.9,0,1.38,1.51,89
2019-01-22,martes,1,2019,22,0,29.5,0,1.41,1.46,92
2019-01-23,miércoles,1,2019,23,0,30.0,0,1.44,1.38,102
2019-01-24,jueves,1,2019,24,0,27.0,0,1.38,1.49,101
2019-01-25,viernes,1,2019,25,0,28.8,0,1.39,1.47,116
2019-01-26,sábado,1,2019,26,0,30.0,0,1.41,1.45,127
2019-01-27,domingo,1,2019,27,0,27.5,0,1.4,1.49,147
2019-01-28,lunes,1,2019,28,0,30.5,0,1.38,1.34,80
2019-01-29,martes,1,2019,29,0,28.5,0,1.42,1.51,86
2019-01-30,miércoles,1,2019,30,0,29.1,0,1.45,1.55,89
2019-01-31,jueves,1,2019,31,0,28.4,0,1.4,1.49,93
2019-02-01,viernes,2,2019,32,0,33.3,0,1.38,1.31,93
2019-02-02,sábado,2,2019,33,0,29.5,0,1.37,1.35,127
2019-02-03,domingo,2,2019,34,0,27.4,0,1.41,1.32,111
2019-02-04,lunes,2,2019,35,0,31.1,0,1.42,1.49,74
2019-02-05,martes,2,2019,36,0,26.9,0,1.41,1.38,100
2019-02-06,miércoles,2,2019,37,0,29.7,0,1.4,1.33,90
2019-02-07,jueves,2,2019,38,0,25.3,0,1.39,1.45,107
2019-02-08,viernes,2,2019,39,0,26.5,0,1.38,1.36,120
2019-02-09,sábado,2,2019,40,0,29.5,0,1.42,1.51,148
2019-02-10,domingo,2,2019,41,0,30.5,0,1.42,1.46,106
2019-02-11,lunes,2,2019,42,0,29.3,0,1.37,1.44,74
2019-02-12,martes,2,2019,43,0,28.6,0,1.43,1.44,76
2019-02-13,miércoles,2,2019,44,0,28.2,0,1.41,1.51,87
2019-02-14,jueves,2,2019,45,0,25.7,0,1.43,1.52,96
2019-02-15,viernes,2,2019,46,0,27.2,1,1.37,1.27,160
2019-02-16,sábado,2,2019,47,0,27.6,0,1.37,1.36,136
2019-02-17,domingo,2,2019,48,0,30.5,0,1.4,1.36,119
2019-02-18,lunes,2,2019,49,0,29.0,0,1.41,1.41,76
2019-02-19,martes,2,2019,50,0,24.7,0,1.44,1.57,74
2019-02-20,miércoles,2,2019,51,0,28.8,0,1.41,1.41,79
2019-02-21,jueves,2,2019,52,0,27.3,1,1.4,1.42,147
2019-02-22,viernes,2,2019,53,0,26.6,0,1.38,1.29,107
2019-02-23,sábado,2,2019,54,0,29.1,0,1.42,1.55,126
2019-02-24,domingo,2,2019,55,0,29.8,0,1.38,1.45,119
2019-02-25,lunes,2,2019,56,0,29.5,1,1.43,1.41,151
2019-02-26,martes,2,2019,57,0,25.8,0,1.39,1.44,87
2019-02-27,miércoles,2,2019,58,0,26.8,0,1.43,1.39,80
2019-02-28,jueves,2,2019,59,0,27.9,0,1.41,1.44,87
2019-03-01,viernes,3,2019,60,0,29.1,0,1.4,1.37,86
2019-03-02,sábado,3,2019,61,0,26.1,0,1.39,1.32,124
2019-03-03,domingo,3,2019,62,0,26.5,0,1.39,1.41,110
2019-03-04,lunes,3,2019,63,0,24.6,0,1.41,1.38,86
2019-03-05,martes,3,2019,64,0,24.3,0,1.4,1.43,84
2019-03-06,miércoles,3,2019,65,0,28.1,0,1.39,1.45,80
2019-03-07,jueves,3,2019,66,0,29.1,1,1.4,1.36,155
2019-03-08,viernes,3,2019,67,0,26.1,0,1.4,1.43,106
2019-03-09,sábado,3,2019,68,0,28.1,1,1.36,1.48,212
2019-03-10,domingo,3,2019,69,0,26.7,0,1.41,1.43,118
2019-03-11,lunes,3,2019,70,0,24.6,0,1.38,1.32,91
2019-03-12,martes,3,2019,71,0,26.4,0,1.38,1.48,83
2019-03-13,miércoles,3,2019,72,0,28.6,1,1.37,1.54,170
2019-03-14,jueves,3,2019,73,0,25.4,1,1.36,1.29,143
2019-03-15,viernes,3,2019,74,0,28.4,0,1.37,1.35,104
2019-03-16,sábado,3,2019,75,0,19.9,0,1.39,1.28,124
2019-03-17,domingo,3,2019,76,0,26.6,1,1.44,1.48,176
2019-03-18,lunes,3,2019,77,0,25.0,0,1.39,1.36,81
2019-03-19,martes,3,2019,78,0,24.1,0,1.4,1.39,83
2019-03-20,miércoles,3,2019,79,0,24.7,0,1.41,1.45,89
2019-03-21,jueves,3,2019,80,0,20.4,0,1.4,1.37,101
2019-03-22,viernes,3,2019,81,0,23.8,1,1.4,1.41,146
2019-03-23,sábado,3,2019,82,0,24.8,0,1.38,1.43,123
2019-03-24,domingo,3,2019,83,0,26.9,0,1.43,1.45,118
2019-03-25,lunes,3,2019,84,0,22.7,0,1.44,1.38,74
2019-03-26,martes,3,2019,85,0,22.0,0,1.37,1.27,108
2019-03-27,miércoles,3,2019,86,0,22.4,0,1.38,1.48,95
2019-03-28,jueves,3,2019,87,0,25.1,0,1.39,1.32,86
2019-03-29,viernes,3,2019,88,0,23.8,0,1.38,1.41,103
2019-03-30,sábado,3,2019,89,0,21.9,0,1.41,1.49,131
2019-03-31,domingo,3,2019,90,0,23.8,0,1.39,1.36,120
2019-04-01,lunes,4,2019,91,0,22.8,0,1.44,1.45,70
2019-04-02,martes,4,2019,92,0,24.4,0,1.42,1.41,63
2019-04-03,miércoles,4,2019,93,0,20.9,0,1.4,1.48,76
2019-04-04,jueves,4,2019,94,0,21.4,1,1.42,1.52,153
2019-04-05,viernes,4,2019,95,0,21.1,0,1.42,1.45,107
2019-04-06,sábado,4,2019,96,0,18.8,0,1.39,1.39,123
2019-04-07,domingo,4,2019,97,0,22.2,0,1.38,1.41,101
2019-04-08,lunes,4,2019,98,0,21.9,0,1.4,1.38,75
2019-04-09,martes,4,2019,99,0,21.3,0,1.42,1.41,83
2019-04-10,miércoles,4,2019,100,0,20.6,0,1.4,1.39,87
2019-04-11,jueves,4,2019,101,0,18.1,0,1.37,1.35,87
2019-04-12,viernes,4,2019,102,0,19.9,1,1.38,1.42,171
2019-04-13,sábado,4,2019,103,0,19.9,1,1.4,1.45,201
2019-04-14,domingo,4,2019,104,0,18.8,0,1.4,1.39,116
2019-04-15,lunes,4,2019,105,0,19.9,0,1.44,1.45,65
2019-04-16,martes,4,2019,106,0,20.9,0,1.37,1.44,75
2019-04-17,miércoles,4,2019,107,0,23.7,0,1.41,1.45,85
2019-04-18,jueves,4,2019,108,0,20.1,0,1.43,1.42,75
2019-04-19,viernes,4,2019,109,1,20.1,0,1.45,1.38,142
2019-04-20,sábado,4,2019,110,0,19.2,1,1.39,1.42,198
2019-04-21,domingo,4,2019,111,0,15.4,0,1.41,1.47,110
2019-04-22,lunes,4,2019,112,0,19.0,0,1.41,1.49,78
2019-04-23,martes,4,2019,113,0,19.0,0,1.4,1.42,68
2019-04-24,miércoles,4,2019,114,0,23.6,0,1.4,1.45,88
2019-04-25,jueves,4,2019,115,0,18.1,0,1.41,1.43,71
2019-04-26,viernes,4,2019,116,0,18.9,0,1.35,1.41,108
2019-04-27,sábado,4,2019,117,0,18.1,0,1.41,1.46,116
2019-04-28,domingo,4,2019,118,0,15.7,0,1.4,1.27,93
2019-04-29,lunes,4,2019,119,0,20.1,0,1.4,1.33,71
2019-04-30,martes,4,2019,120,0,19.2,0,1.44,1.44,68
2019-05-01,miércoles,5,2019,121,1,19.1,0,1.39,1.45,107
2019-05-02,jueves,5,2019,122,0,15.5,1,1.39,1.37,112
2019-05-03,viernes,5,2019,123,0,20.0,0,1.44,1.54,85
2019-05-04,sábado,5,2019,124,0,14.2,0,1.38,1.47,119
2019-05-05,domingo,5,2019,125,0,18.0,0,1.39,1.37,103
2019-05-06,lunes,5,2019,126,0,21.1,0,1.4,1.32,57
2019-05-07,martes,5,2019,127,0,14.5,0,1.42,1.38,61
2019-05-08,miércoles,5,2019,128,0,15.2,0,1.4,1.47,65
2019-05-09,jueves,5,2019,129,0,16.4,0,1.37,1.37,57
2019-05-10,viernes,5,2019,130,0,15.0,0,1.39,1.41,73
2019-05-11,sábado,5,2019,131,0,12.8,1,1.39,1.41,186
2019-05-12,domingo,5,2019,132,0,15.9,0,1.4,1.44,98
2019-05-13,lunes,5,2019,133,0,13.4,1,1.41,1.34,117
2019-05-14,martes,5,2019,134,0,16.4,0,1.41,1.4,64
2019-05-15,miércoles,5,2019,135,0,13.4,0,1.36,1.37,69
2019-05-16,jueves,5,2019,136,0,18.2,0,1.42,1.46,67
2019-05-17,viernes,5,2019,137,0,13.4,0,1.41,1.51,75
2019-05-18,sábado,5,2019,138,0,14.2,0,1.43,1.39,110
2019-05-19,domingo,5,2019,139,0,16.3,0,1.41,1.49,104
2019-05-20,lunes,5,2019,140,0,12.1,0,1.42,1.48,40
2019-05-21,martes,5,2019,141,0,14.8,0,1.41,1.43,52
2019-05-22,miércoles,5,2019,142,0,16.9,0,1.43,1.46,58
2019-05-23,jueves,5,2019,143,0,10.9,0,1.41,1.36,68
2019-05-24,viernes,5,2019,144,0,14.3,0,1.4,1.33,75
2019-05-25,sábado,5,2019,145,0,14.3,0,1.45,1.52,109
2019-05-26,domingo,5,2019,146,0,15.3,0,1.42,1.42,96
2019-05-27,lunes,5,2019,147,0,11.1,0,1.41,1.45,58
2019-05-28,martes,5,2019,148,0,10.8,0,1.37,1.38,53
2019-05-29,miércoles,5,2019,149,0,14.3,0,1.37,1.48,61
2019-05-30,jueves,5,2019,150,0,13.8,0,1.41,1.41,60
2019-05-31,viernes,5,2019,151,0,13.5,0,1.4,1.38,86
2019-06-01,sábado,6,2019,152,0,13.6,0,1.39,1.44,105
2019-06-02,domingo,6,2019,153,0,11.4,0,1.4,1.43,84
2019-06-03,lunes,6,2019,154,0,13.2,0,1.43,1.48,62
2019-06-04,martes,6,2019,155,0,13.2,0,1.41,1.47,48
2019-06-05,miércoles,6,2019,156,0,11.0,0,1.38,1.47,69
2019-06-06,jueves,6,2019,157,0,16.1,0,1.4,1.31,52
2019-06-07,viernes,6,2019,158,0,13.2,0,1.38,1.34,57
2019-06-08,sábado,6,2019,159,0,9.7,0,1.39,1.48,105
2019-06-09,domingo,6,2019,160,0,13.3,1,1.39,1.45,160
2019-06-10,lunes,6,2019,161,0,10.0,0,1.39,1.43,51
2019-06-11,martes,6,2019,162,0,13.4,0,1.37,1.46,47
2019-06-12,miércoles,6,2019,163,0,14.0,0,1.4,1.39,54
2019-06-13,jueves,6,2019,164,0,10.0,0,1.39,1.47,57
2019-06-14,viernes,6,2019,165,0,13.5,1,1.34,1.36,148
2019-06-15,sábado,6,2019,166,0,12.3,0,1.44,1.44,105
2019-06-16,domingo,6,2019,167,0,13.0,0,1.42,1.44,91
2019-06-17,lunes,6,2019,168,0,15.1,0,1.39,1.4,54
2019-06-18,martes,6,2019,169,0,10.7,0,1.4,1.32,45
2019-06-19,miércoles,6,2019,170,0,9.6,0,1.38,1.38,52
2019-06-20,jueves,6,2019,171,0,9.3,1,1.43,1.42,107
2019-06-21,viernes,6,2019,172,0,9.3,0,1.44,1.42,70
2019-06-22,sábado,6,2019,173,0,10.7,0,1.4,1.49,75
2019-06-23,domingo,6,2019,174,0,11.5,0,1.42,1.46,85
2019-06-24,lunes,6,2019,175,0,11.3,0,1.4,1.41,49
2019-06-25,martes,6,2019,176,0,12.3,0,1.37,1.47,57
2019-06-26,miércoles,6,2019,177,0,10.6,0,1.39,1.49,55
2019-06-27,jueves,6,2019,178,0,13.5,0,1.4,1.39,62
2019-06-28,viernes,6,2019,179,0,10.0,0,1.39,1.37,56
2019-06-29,sábado,6,2019,180,0,15.9,0,1.4,1.5,101
2019-06-30,domingo,6,2019,181,0,11.7,0,1.4,1.33,74
2019-07-01,lunes,7,2019,182,0,8.6,0,1.4,1.35,35
2019-07-02,martes,7,2019,183,0,8.2,1,1.4,1.36,122
2019-07-03,miércoles,7,2019,184,0,11.2,0,1.38,1.51,65
2019-07-04,jueves,7,2019,185,0,9.8,0,1.39,1.42,60
2019-07-05,viernes,7,2019,186,0,11.6,0,1.37,1.29,69
2019-07-06,sábado,7,2019,187,0,11.1,0,1.42,1.38,94
2019-07-07,domingo,7,2019,188,0,10.0,1,1.36,1.42,160
2019-07-08,lunes,7,2019,189,0,8.4,0,1.42,1.48,43
2019-07-09,martes,7,2019,190,0,7.1,0,1.43,1.42,49
2019-07-10,miércoles,7,2019,191,0,9.2,0,1.39,1.45,41
2019-07-11,jueves,7,2019,192,0,11.8,1,1.35,1.39,113
2019-07-12,viernes,7,2019,193,0,10.5,0,1.39,1.53,71
2019-07-13,sábado,7,2019,194,0,7.5,0,1.4,1.34,101
2019-07-14,domingo,7,2019,195,0,10.4,0,1.38,1.41,95
2019-07-15,lunes,7,2019,196,0,10.8,0,1.39,1.36,32
2019-07-16,martes,7,2019,197,0,8.2,0,1.43,1.44,41
2019-07-17,miércoles,7,2019,198,0,10.3,0,1.41,1.3,41
2019-07-18,jueves,7,2019,199,0,10.1,1,1.38,1.35,103
2019-07-19,viernes,7,2019,200,0,7.7,0,1.37,1.34,62
2019-07-20,sábado,7,2019,201,0,10.7,1,1.39,1.39,178
2019-07-21,domingo,7,2019,202,0,11.1,0,1.4,1.36,90
2019-07-22,lunes,7,2019,203,0,12.2,0,1.41,1.47,63
2019-07-23,martes,7,2019,204,0,12.2,1,1.39,1.35,131
2019-07-24,miércoles,7,2019,205,0,7.3,0,1.41,1.49,47
2019-07-25,jueves,7,2019,206,0,8.2,1,1.44,1.5,116
2019-07-26,viernes,7,2019,207,0,11.2,0,1.42,1.44,76
2019-07-27,sábado,7,2019,208,0,11.2,0,1.4,1.48,101
2019-07-28,domingo,7,2019,209,0,11.2,1,1.4,1.39,152
2019-07-29,lunes,7,2019,210,0,17.9,0,1.39,1.31,32
2019-07-30,martes,7,2019,211,0,11.4,0,1.42,1.51,74
2019-07-31,miércoles,7,2019,212,0,12.6,0,1.39,1.39,50
2019-08-01,jueves,8,2019,213,0,12.3,1,1.4,1.5,118
2019-08-02,viernes,8,2019,214,0,11.7,0,1.4,1.47,77
2019-08-03,sábado,8,2019,215,0,9.8,0,1.39,1.41,98
2019-08-04,domingo,8,2019,216,0,12.0,0,1.37,1.35,90
2019-08-05,lunes,8,2019,217,0,9.0,1,1.41,1.43,132
2019-08-06,martes,8,2019,218,0,10.1,1,1.4,1.53,102
